Name,Status,Transcription,Native,Population 2001,Population 2011,Population 2021
Chhededaha,Rural Municipality,Chēḍēdaha,छेडेदह गाउँपालिका,"15,812","18,741","19,307"
Gaumul,Rural Municipality,Gaumula,गौमुल गाउँपालिका,...,"8,515","8,913"
Himali,Rural Municipality,Himālī,हिमाली गाउँपालिका,...,"9,229","10,309"
Jagannath [Pandav Gupha],Rural Municipality,Jagannātha,जगन्‍नाथ गाउँपालिका,...,"9,432","10,158"
Khaptad National Park,National Park,Khaptaḍa Rāṣṭriya Nikuñja,खप्तड राष्ट्रिय निकुञ्ज,0,0,0
Swamikartik Khapar,Rural Municipality,Svāmīkārtika Khāpara,स्वामीकार्तिक खापर गाउँपालिका,"10,889","12,790","12,576"
Triveni,Municipality,Trivēṇī,त्रिवेणी नगरपालिका,"14,938","18,363","17,798"
Banke,District,Bā̃kē,बाँके जिल्ला,"385,840","491,313","603,194"
Baijanath,Rural Municipality,Baijanātha,बैजनाथ गाउँपालिका,"45,481","54,987","69,472"
Duduwa,Rural Municipality,Ḍuḍuvā,डुडुवा गाउँपालिका,...,"37,533","43,135"
Janaki,Rural Municipality,Jānakī,जानकी गाउँपालिका,"31,447","37,847","46,141"
Khajura,Rural Municipality,Khajurā,खजुरा गाउँपालिका,"45,605","50,990","62,789"
Kohalpur,Municipality,Kōhalapura,कोहलपुर नगरपालिका,"41,999","72,748","101,667"
Narainapur,Rural Municipality,Naraināpura,नरैनापुर गाउँपालिका,"30,130","35,042","43,206"
Nepalganj,Sub-Metropolis,Nēpālagañja,नेपालगञ्ज उपमहानगरपालिका,...,"141,241","164,444"
Rapti Sonari,Rural Municipality,Rāptī Sōnārī,राप्ती सोनारी गाउँपालिका,"53,009","60,925","66,445"
Bara,District,Bārā,बारा जिल्ला,"559,135","687,708","763,137"
Adarsha Kotwal,Rural Municipality,Ādarśa Kōṭavāla,आदर्श कोटवाल गाउँपालिका,"21,590","27,552","31,364"
Baragadhi,Rural Municipality,Bārāgaḍhīgāũpālikā,बारागढीगाउँपालिका,...,"27,191","29,555"
Bishrampur,Rural Municipality,Viśrāmapura,विश्रामपुर गाउँपालिका,"18,912","23,814","24,892"
Devtal,Rural Municipality,Dēvatāla,देवताल गाउँपालिका,...,"23,011","25,361"
