Name,Status,Transcription,Native,Population 2001,Population 2011,Population 2021
Kaligandaki,Rural Municipality,Kālīgaṇḍakī,कालीगण्डकी गाउँपालिका,"22,140","18,885","15,044"
Madane,Rural Municipality,Madānē,मदाने गाउँपालिका,"21,949","21,948","20,022"
Malika,Rural Municipality,Mālikā,मालिका गाउँपालिका,...,"21,729","20,075"
Musikot,Municipality,Musikōṭa,मुसिकोट नगरपालिका,...,"33,000","28,454"
Resunga,Municipality,Rēsuṅagā,रेसुङगा नगरपालिका,...,"33,225","31,551"
Ruru,Rural Municipality,Rurukṣētra,रुरुक्षेत्र गाउँपालिका,"20,914","18,610","16,597"
Satyawati,Rural Municipality,Satyavatī,सत्यवती गाउँपालिका,"26,932","23,807","19,473"
Humla,District,Humlā,हुम्ला जिल्ला,"40,595","50,858","55,394"
Adanchuli,Rural Municipality,Adānaculī,अदानचुली गाउँपालिका,...,"7,140","8,265"
Chankheli,Rural Municipality,Caṅkhēlī,चंखेली गाउँपालिका,...,"5,541","6,579"
Kharpunath,Rural Municipality,Khārpunātha,खार्पुनाथ गाउँपालिका,"5,139","6,045","6,736"
Namkha,Rural Municipality,Nāmkhā,नाम्खा गाउँपालिका,...,"4,250","3,589"
Sarkegad,Rural Municipality,Sarkēgāḍa,सर्केगाड गाउँपालिका,...,"9,868","10,688"
Simkot,Rural Municipality,Simakōṭa,सिमकोट गाउँपालिका,...,"12,038","11,935"
Tanjakot,Rural Municipality,Tā̃jākōṭa,ताँजाकोट गाउँपालिका,"4,280","5,976","6,092"
Ilam,District,Ilāma,इलाम जिल्ला,"282,806","290,254","279,534"
Chulachuli,Rural Municipality,Culāculī,चुलाचुली गाउँपालिका,...,"21,413","23,157"
Deumai,Municipality,Dēumāī,देउमाई नगरपालिका,...,"32,386","30,969"
Ilam,Municipality,Ilāma,इलाम नगरपालिका,"44,940","49,330","50,085"
Mai,Municipality,Māī,माई नगरपालिका,...,"33,210","30,732"
Maijogmai,Rural Municipality,Māījōgamāī,माईजोगमाई गाउँपालिका,...,"21,064","19,131"
Mangsebung,Rural Municipality,Māṅasēbuṅa,माङसेबुङ गाउँपालिका,"16,028","18,534","16,810"
Phakphokthum,Rural Municipality,Phākaphōkathuma,फाकफोकथुम गाउँपालिका,...,"22,160","19,706"
Rong,Rural Municipality,Rōṅa,रोङ गाउँपालिका,"18,983","19,135","17,367"
Sandakpur,Rural Municipality,Sandakapura,सन्दकपुर गाउँपालिका,...,"16,065","15,444"
Suryodaya,Municipality,Sūryōdaya,सूर्योदय नगरपालिका,...,"56,957","54,727"
Jajarkot,District,Jājarakōṭa,जाजरकोट जिल्ला,"134,868","171,304","189,360"
Barekot,Rural Municipality,Bārēkōṭa,बारेकोट गाउँपालिका,"13,929","18,083","22,005"
Bheri,Municipality,Bhērī,भेरी नगरपालिका,...,"34,713","37,892"
Chhedagad,Municipality,Chēḍāgāḍa,छेडागाड नगरपालिका,...,"35,295","37,877"
Junichande,Rural Municipality,Junīcā̃dē,जुनीचाँदे गाउँपालिका,"16,344","21,733","23,771"
Kuse,Rural Municipality,Kusē,कुसे गाउँपालिका,...,"20,621","23,058"
Nalgad [Triveni Nalgad],Municipality,Nalagāḍa,नलगाड नगरपालिका,"20,065","25,590","28,922"
Shivalaya,Rural Municipality,Śivālaya,शिवालय गाउँपालिका,"12,764","15,269","14,776"
Jhapa,District,Jhāpā,झापा जिल्ला,"688,109","812,650","998,054"
Arjundhara,Municipality,Arjunadhārā,अर्जुनधारा नगरपालिका,"50,513","60,480","84,018"
Bahradashi,Rural Municipality,Bāhradaśī,बाह्रदशी गाउँपालिका,"32,502","33,674","37,946"
Bhadrapur,Municipality,Bhadrapura,भद्रपुर नगरपालिका,"56,841","66,629","70,913"
Birtamod,Municipality,Birtāmōḍa,बिर्तामोड नगरपालिका,"58,001","82,592","116,192"
Buddhashanti,Rural Municipality,Buddhaśānti,बुद्धशान्ति गाउँपालिका,"37,179","41,624","53,010"
Damak,Municipality,Damaka,दमक नगरपालिका,"35,009","75,743","107,227"
Gauradaha,Municipality,Gaurādaha,गौरादह नगरपालिका,"50,793","53,049","60,451"
Gaurigunj,Rural Municipality,Gaurīgañja,गौरीगंज गाउँपालिका,"30,759","33,085","35,506"
Haldibari,Rural Municipality,Haldībārī,हल्दीबारी गाउँपालिका,"28,129","28,951","32,722"
Jhapa,Rural Municipality,Jhāpā,झापा गाउँपालिका,"31,008","34,622","39,302"
Kachankawal,Rural Municipality,Kacanakavala,कचनकवल गाउँपालिका,"30,229","39,593","41,317"
Kamal,Rural Municipality,Kamala,कमल गाउँपालिका,"34,530","44,679","53,894"
Kankai,Municipality,Kanakāī,कनकाई नगरपालिका,"32,801","40,294","53,148"
Mechinagar,Municipality,Mēcīnagara,मेचीनगर नगरपालिका,"97,422","112,997","133,073"
Shivasatakshi,Municipality,Śivasatākṣī,शिवसताक्षी नगरपालिका,"43,632","64,638","74,077"
Jumla,District,Jumlā,जुम्ला जिल्ला,"89,427","108,921","118,349"
Chandannath,Municipality,Candananātha,चन्दननाथ नगरपालिका,...,"20,371","21,036"
Guthichaur,Rural Municipality,Guṭhicaura,गुठिचौर गाउँपालिका,"5,353","9,920","10,922"
Hima,Rural Municipality,Himā,हिमा गाउँपालिका,"4,933","10,553","12,191"
Kankasundari,Rural Municipality,Kanakāsundarī,कनकासुन्दरी गाउँपालिका,"8,419","13,216","13,625"
Patarasi,Rural Municipality,Pātārāsī,पातारासी गाउँपालिका,"11,400","14,608","16,824"
Sinja,Rural Municipality,Siñjā,सिंजा गाउँपालिका,"4,765","12,008","12,556"
Tatopani,Rural Municipality,Tātōpānī,तातोपानी गाउँपालिका,"11,208","14,638","15,575"
Tila,Rural Municipality,Tilā,तिला गाउँपालिका,"11,431","13,607","14,539"
Kailali,District,Kailālī,कैलाली जिल्ला,"616,697","775,709","904,666"
Bardagoriya,Rural Municipality,Bardagōriyā,बर्दगोरिया गाउँपालिका,"24,770","32,683","37,682"
Bhajani,Municipality,Bhajanī,भजनी नगरपालिका,"45,768","52,128","53,494"
Chure,Rural Municipality,Curē,चुरे गाउँपालिका,"16,652","19,157","21,400"
Dhangadhi,Sub-Metropolis,Dhanagaḍhī,धनगढी उपमहानगरपालिका,"105,586","149,818","198,792"
Gauriganga,Municipality,Gaurīgaṅgā,गौरीगङ्गा नगरपालिका,...,"58,286","64,558"
Ghodaghodi,Municipality,Ghōḍāghōḍī,घोडाघोडी नगरपालिका,"55,579","75,965","86,034"
Godawari,Municipality,Gōdāvarī,गोदावरी नगरपालिका,...,"79,686","98,746"
Janaki,Rural Municipality,Jānakī,जानकी गाउँपालिका,"50,114","48,540","49,860"
Joshipur,Rural Municipality,Jōśīpura,जोशीपुर गाउँपालिका,"32,571","36,459","37,187"
Kailari,Rural Municipality,Kailārī,कैलारी गाउँपालिका,...,"47,987","49,917"
Lamkichuha,Municipality,Lamkīcuhā,लम्कीचुहा नगरपालिका,"61,074","76,007","90,971"
Mohanyal,Rural Municipality,Mōhanyāla,मोहन्याल गाउँपालिका,"20,975","22,053","21,082"
Tikapur,Municipality,Ṭīkāpura,टीकापुर नगरपालिका,"59,917","76,940","89,835"
Kalikot,District,Kālikōṭa,कालिकोट जिल्ला,"105,580","136,948","145,292"
Khandachakra,Municipality,Khā̃ḍācakra,खाँडाचक्र नगरपालिका,...,"20,618","22,274"
Mahawai,Rural Municipality,Mahāvai,महावै गाउँपालिका,...,"8,339","8,177"
Narharinath,Rural Municipality,Naraharinātha,नरहरिनाथ गाउँपालिका,"17,006","21,381","22,458"
Pachaljharana,Rural Municipality,Pacālajharanā,पचालझरना गाउँपालिका,...,"12,343","13,687"
Palata,Rural Municipality,Palātā,पलाता गाउँपालिका,"12,101","15,303","17,346"
Raskot,Municipality,Rāskōṭa,रास्कोट नगरपालिका,...,"16,272","17,425"
Sanni Triveni,Rural Municipality,Sānnī Trivēṇī,सान्नी त्रिवेणी गाउँपालिका,...,"12,846","13,491"
Shubha Kalika,Rural Municipality,Śubha Kālīkā,शुभ कालीका गाउँपालिका,...,"14,080","13,773"
Tilagufa,Municipality,Tilāguphā,तिलागुफा नगरपालिका,...,"15,766","16,197"
Kanchanpur [Dodhara Chandani],District,Kañcanapura,कञ्‍चनपुर जिल्ला,"377,899","451,248","513,757"
Bedkot,Municipality,Bēdakōṭa,बेदकोट नगरपालिका,"40,742","49,490","57,680"
Belauri,Municipality,Bēlaurī,बेलौरी नगरपालिका,"45,869","53,609","53,910"
Beldandi,Rural Municipality,Bēlaḍāḍī,बेलडाडी गाउँपालिका,"24,771","21,949","21,888"
Bhimdatta,Municipality,Bhīmadatta,भीमदत्त नगरपालिका,"80,839","106,666","122,320"
Krishnapur,Municipality,Kr̥ṣṇapura,कृष्णपुर नगरपालिका,...,"56,643","71,500"
Laljhadi,Rural Municipality,Lālajhāḍī,लालझाडी गाउँपालिका,...,"22,569","25,037"
Mahakali,Municipality,Mahākālī,महाकाली नगरपालिका,"35,403","39,290","42,974"
Punarbas,Municipality,Punarvāsa,पुनर्वास नगरपालिका,...,"53,672","61,748"
Shuklaphanta,Municipality,Śuklāphā̃ṭā,शुक्लाफाँटा नगरपालिका,...,"47,360","53,969"
Shuklaphanta National Park,National Park,Śuklāphā̃ṭa Rāṣṭriya Nikuñja,शुक्लाफाँट राष्ट्रिय निकुञ्ज,0,0,0
Kapilvastu,District,Kapilavastu,कपिलवस्तु जिल्ला,"481,976","571,936","682,961"
Banganga,Municipality,Vāṇagaṅgā,वाणगंगा नगरपालिका,"63,449","75,354","96,714"
Bijaynagar,Rural Municipality,Vijayanagara,विजयनगर गाउँपालिका,"32,060","37,013","43,291"
Buddhabhumi,Municipality,Buddhavāṭikā,बुद्धवाटिका नगरपालिका,"54,590","65,458","76,507"
Kapilvastu,Municipality,Kapilavastu,कपिलवस्तु नगरपालिका,"68,059","76,894","88,874"
Krishnanagar,Municipality,Kr̥ṣṇanagara,कृष्णनगर नगरपालिका,"52,748","62,422","70,111"
Maharajgunj,Municipality,Mahārājagañja,महाराजगंज नगरपालिका,"46,590","54,901","64,645"
Mayadevi,Rural Municipality,Māyādēvī,मायादेवी गाउँपालिका,"40,894","48,479","55,972"
Shivraj,Municipality,Śivarāja,शिवराज नगरपालिका,"50,886","67,162","84,810"
Shuddhodhan,Rural Municipality,Śuddhōdhana,शुद्धोधन गाउँपालिका,"38,468","45,301","52,861"
Yasodhara,Rural Municipality,Yasōdharā,यसोधरा गाउँपालिका,"33,540","38,952","44,900"
Kaski,District,Kāskī,कास्की जिल्ला,"380,527","492,098","600,051"
Annapurna,Rural Municipality,Annapūrṇa,अन्नपूर्ण गाउँपालिका,...,"23,565","22,099"
Machhapuchchhre,Rural Municipality,Māchāpucchrē,माछापुच्छ्रे गाउँपालिका,"24,765","21,920","22,898"
Madi,Rural Municipality,Mādī,मादी गाउँपालिका,...,"18,153","16,142"
Pokhara,Metropolis,Pōkharā,पोखरा महानगरपालिका,"283,137","413,934","513,504"
Rupa,Rural Municipality,Rūpā,रूपा गाउँपालिका,...,"14,526","14,891"
Kathmandu,District,Kāṭhamāḍaũ,काठमाडौँ जिल्ला,"1,081,845","1,744,240","2,041,587"
Budhanilkantha,Municipality,Buḍhānilakaṇṭha,बुढानिलकण्ठ नगरपालिका,...,"112,281","177,557"
Chandragiri,Municipality,Candrāgirī,चन्द्रागिरी नगरपालिका,"55,032","87,553","136,860"
Dakshinkali,Municipality,Dakṣiṇakālī,दक्षिणकाली नगरपालिका,...,"25,684","26,372"
Gokarneshwar,Municipality,Gōkarṇēśvara,गोकर्णेश्वर नगरपालिका,"57,698","110,452","149,366"
Kageshwari Manohara,Municipality,Kāgēśvarī Manōharā,कागेश्वरी मनोहरा नगरपालिका,"32,077","60,553","130,433"
Kathmandu,Metropolis,Kāṭhamāḍaũ,काठमाडौँ महानगरपालिका,"671,846","1,003,285","862,400"
Kirtipur,Municipality,Kīrtipura,कीर्तिपुर नगरपालिका,"40,835","67,171","81,578"
Nagarjun,Municipality,Nāgārjuna,नागार्जुन नगरपालिका,"33,055","68,863","115,437"
Shankharapur,Municipality,Śaṅkharāpura,शंखरापुर नगरपालिका,"24,260","25,558","29,318"
Tarakeshwar,Municipality,Tārakēśvara,तारकेश्वर नगरपालिका,"37,268","82,060","151,479"
Tokha,Municipality,Ṭōkhā,टोखा नगरपालिका,"42,308","100,780","133,755"
Kavrepalanchok,District,Kābhrēpalāñcōka,काभ्रेपलाञ्चोक जिल्ला,"385,672","381,937","364,039"
Banepa,Municipality,Banēpā,बनेपा नगरपालिका,...,"57,722","67,690"
Bethanchok,Rural Municipality,Bēthānacōka,बेथानचोक गाउँपालिका,...,"15,622","14,959"
Bhumlu,Rural Municipality,Bhumlu,भुम्लु गाउँपालिका,...,"19,298","15,678"
Chaurideurali,Rural Municipality,Cauṃrīdēurālī,चौंरीदेउराली गाउँपालिका,"27,113","21,130","14,076"
Dhulikhel,Municipality,Dhulikhēla,धुलिखेल नगरपालिका,...,"33,981","33,726"
Khanikhola,Rural Municipality,Khānīkhōlā,खानीखोला गाउँपालिका,"14,190","14,398","12,201"
Mahabharat,Rural Municipality,Mahābhārata,महाभारत गाउँपालिका,"18,097","18,283","16,079"
Mandandeupur,Municipality,Maṇḍanadēupura,मण्डनदेउपुर नगरपालिका,...,"32,768","30,381"
Namobuddha,Municipality,Namōbuddha,नमोबुद्ध नगरपालिका,"32,489","29,926","26,160"
Panauti,Municipality,Panautī,पनौती नगरपालिका,...,"47,549","51,504"
Panchkhal,Municipality,Pā̃cakhāla,पाँचखाल नगरपालिका,...,"39,788","35,521"
Roshi,Rural Municipality,Rōśī,रोशी गाउँपालिका,"30,180","28,760","23,790"
Temal,Rural Municipality,Tēmāla,तेमाल गाउँपालिका,"26,362","22,712","16,957"
Khotang,District,Khōṭāṅa,खोटाङ जिल्ला,"231,385","206,312","175,298"
Aiselukharka,Rural Municipality,Aisēlukharka,ऐसेलुखर्क गाउँपालिका,"18,648","16,098","13,217"
Barahapokhari,Rural Municipality,Varāhapōkharī,वराहपोखरी गाउँपालिका,"15,033","14,349","11,397"
Diktel Rupakot Majhuwagadhi,Municipality,Diktēla Rupākōṭa Majhuvāgaḍhī,दिक्तेल रुपाकोट मझुवागढी नगरपालिका,"50,942","47,860","43,008"
Diprung,Rural Municipality,Dipruṅa Cuicummā,दिप्रुङ चुइचुम्मा गाउँपालिका,...,"19,392","16,305"
Halesi Tuwachung,Municipality,Halēsī Tuvācuṅa,हलेसी तुवाचुङ नगरपालिका,"30,863","29,575","27,078"
Jantedhunga,Rural Municipality,Jantēḍhuṅgā,जन्तेढुंगा गाउँपालिका,"17,881","15,519","12,016"
Kepilasgadhi,Rural Municipality,Kēpilāsagaḍhī,केपिलासगढी गाउँपालिका,...,"16,071","13,231"
Khotehang,Rural Municipality,Khōṭēhāṅa,खोटेहाङ गाउँपालिका,"26,327","22,485","16,846"
Rawa Besi [Lamidanda],Rural Municipality,Rāvā Bēsī,रावा बेसी गाउँपालिका,"15,340","13,369","11,199"
Sakela,Rural Municipality,Sākēlā,साकेला गाउँपालिका,"14,185","11,594","9,623"
Lalitpur,District,Lalitapura,ललितपुर जिल्ला,"337,785","468,132","551,667"
Bagmati,Rural Municipality,Bāgamatī,बागमती गाउँपालिका,"14,155","13,049","11,353"
Godawari,Municipality,Gōdāvarī,गोदावरी नगरपालिका,"66,240","80,376","97,633"
Konjyosom,Rural Municipality,Kōnjyōsōma,कोन्ज्योसोम गाउँपालिका,"9,871","9,709","8,989"
Lalitpur,Metropolis,Lalitapura,ललितपुर महानगरपालिका,"200,020","292,848","294,098"
Mahalaxmi,Municipality,Mahālakṣmī,महालक्ष्मी नगरपालिका,"35,802","62,624","123,116"
Mahankal,Rural Municipality,Mahāṅkāla,महाङ्काल गाउँपालिका,"10,539","9,526","8,122"
Lamjung,District,Lamajuṅa,लमजुङ जिल्ला,"177,149","167,724","155,852"
Besishahar,Municipality,Bēsīsahara,बेसीसहर नगरपालिका,...,"40,599","38,232"
Dordi,Rural Municipality,Dōrdī,दोर्दी गाउँपालिका,...,"18,252","16,050"
Dudhpokhari,Rural Municipality,Dūdhapōkharī,दूधपोखरी गाउँपालिका,"13,814","10,975","8,592"
Kwholasothar,Rural Municipality,Kvhōlāsōthāra,क्व्होलासोथार गाउँपालिका,...,"10,067","7,960"
Madhyanepal,Municipality,Madhyanēpāla,मध्यनेपाल नगरपालिका,"25,675","23,474","21,971"
Marsyangdi,Rural Municipality,Marsyāṅadī,मर्स्याङदी गाउँपालिका,"20,475","18,811","17,080"
Rainas,Municipality,Rāīnāsa,राईनास नगरपालिका,"20,161","18,527","17,402"
Sundarbazar,Municipality,Sundarabajāra,सुन्दरबजार नगरपालिका,"26,890","27,019","27,043"
Mahottari,District,Mahōttarī,महोत्तरी जिल्ला,"553,481","627,580","706,994"
Aurahi,Municipality,Aurahī,औरही नगरपालिका,...,"31,851","37,361"
Balwa,Municipality,Balavā,बलवा नगरपालिका,"38,863","42,368","49,473"
Bardibas,Municipality,Bardibāsa,बर्दिबास नगरपालिका,"57,008","64,721","74,361"
Bhangaha,Municipality,Bhãgāhā,भँगाहा नगरपालिका,"42,612","46,832","55,354"
Ekdara,Rural Municipality,Ēkaḍārā,एकडारा गाउँपालिका,"25,195","29,315","31,770"
Gaushala,Municipality,Gauśālā,गौशाला नगरपालिका,"56,182","66,715","72,481"
Jaleshwar,Municipality,Jalēśvara,जलेश्वर नगरपालिका,"51,838","59,261","63,802"
Loharpatti,Municipality,Lōhārapaṭṭī,लोहारपट्टी नगरपालिका,"36,884","39,883","45,773"
Mahottari,Rural Municipality,Mahōttarī,महोत्तरी गाउँपालिका,"26,343","27,430","28,807"
Manra Shisawa,Municipality,Manarā Śisavā,मनरा शिसवा नगरपालिका,"44,263","49,692","52,191"
Matihani,Municipality,Maṭihānī,मटिहानी नगरपालिका,"26,542","31,026","36,136"
Pipra,Rural Municipality,Piparā,पिपरा गाउँपालिका,"32,874","35,524","40,535"
Ramgopalpur,Municipality,Rāmagōpālapura,रामगोपालपुर नगरपालिका,...,"30,412","36,201"
Samsi,Rural Municipality,Sāmsī,साम्सी गाउँपालिका,"29,451","33,803","38,585"
Sonma,Rural Municipality,Sōnamā,सोनमा गाउँपालिका,"31,925","38,747","43,082"
Makwanpur,District,Makavānapura,मकवानपुर जिल्ला,"392,604","420,477","466,073"
Bagmati,Rural Municipality,Bāgmati,बाग्मति गाउँपालिका,"30,677","30,587","30,425"
Bakaiya,Rural Municipality,Bakaiyā,बकैया गाउँपालिका,"39,846","39,642","40,907"
Bhimphedi,Rural Municipality,Bhīmaphēdī,भीमफेदी गाउँपालिका,...,"24,960","21,516"
Chitawan National Park,National Park,Citavana Rāṣṭriya Nikuñja,चितवन राष्ट्रिय निकुञ्ज,0,0,0
Hetauda,Sub-Metropolis,Hēṭauṇḍā,हेटौंडा उपमहानगरपालिका,"129,872","154,660","193,576"
Indrasarowar,Rural Municipality,Indrasarōvara,इन्द्रसरोवर गाउँपालिका,"15,325","13,891","13,534"
Kailash,Rural Municipality,Kailāśa,कैलाश गाउँपालिका,...,"23,922","21,856"
Makawanpurgadhi,Rural Municipality,Makavānapuragaḍhī,मकवानपुरगढी गाउँपालिका,"26,959","25,379","24,461"
Manahari,Rural Municipality,Manaharī,मनहरी गाउँपालिका,...,"39,122","47,353"
Parsa Wildlife Reserve,Wildlife Reserve,Parsā Vanyajantu Ārakṣa,पर्सा वन्यजन्तु आरक्ष,0,0,0
Raksirang,Rural Municipality,Rāksirāṅga,राक्सिराङ्ग गाउँपालिका,"25,675","26,192","25,996"
Thaha,Municipality,Thāhā,थाहा नगरपालिका,"42,230","42,122","38,870"
Manang,District,Manāṅa,मनाङ जिल्ला,"9,587","6,538","5,658"
Chame,Rural Municipality,Cāmē,चामे गाउँपालिका,...,"1,476","1,276"
Manang Ngisyang [Neshyang],Rural Municipality,Manāṅa Ṅisyāṅa,मनाङ ङिस्याङ गाउँपालिका,...,"2,414","1,595"
Narpa Bhumi [Narphu],Rural Municipality,Nārpā Bhūmi,नार्पा भूमि गाउँपालिका,...,554,396
Nasong,Rural Municipality,Nāśōṅa,नाशोङ गाउँपालिका,...,"2,094","1,671"
Morang,District,Mōraṅa,मोरङ जिल्ला,"843,220","965,370","1,148,156"
Belbari,Municipality,Bēlavārī,बेलवारी नगरपालिका,"58,397","65,974","81,771"
Biratnagar,Metropolis,Virāṭanagara,विराटनगर महानगरपालिका,...,"218,526","243,927"
Budhiganga,Rural Municipality,Buḍhīgaṅgā,बुढीगंगा गाउँपालिका,"34,193","41,971","51,497"
Dhanpalthan,Rural Municipality,Dhanapālathāna,धनपालथान गाउँपालिका,"35,217","39,470","45,348"
Gramthan,Rural Municipality,Grāmathāna,ग्रामथान गाउँपालिका,"31,374","32,717","36,024"
Jahada,Rural Municipality,Jahadā,जहदा गाउँपालिका,...,"41,819","47,639"
Kanepokhari,Rural Municipality,Kānēpōkharī,कानेपोखरी गाउँपालिका,"37,359","38,041","43,193"
Katahari,Rural Municipality,Kaṭaharī,कटहरी गाउँपालिका,"32,539","39,775","48,510"
Kerabari,Rural Municipality,Kērāvārī,केरावारी गाउँपालिका,...,"30,918","34,504"
Letang,Municipality,Lēṭāṅa,लेटाङ नगरपालिका,...,"32,782","38,152"
Miklajung,Rural Municipality,Miklājuṅa,मिक्लाजुङ गाउँपालिका,...,"28,709","33,167"
Pathari Shanishchare,Municipality,Patharī Śaniścarē,पथरी शनिश्चरे नगरपालिका,"56,012","61,132","72,451"
Rangeli,Municipality,Raṅgēlī,रंगेली नगरपालिका,"51,186","51,357","57,494"
Ratuwamai,Municipality,Ratuvāmāī,रतुवामाई नगरपालिका,...,"55,418","61,139"
Sunawarshi,Municipality,Sunavarṣi,सुनवर्षि नगरपालिका,...,"51,444","56,034"
Sundarharaicha,Municipality,Sundaraharaicā,सुन्दरहरैचा नगरपालिका,"62,221","80,621","120,213"
Urlabari,Municipality,Urlāvārī,उर्लावारी नगरपालिका,...,"54,696","70,908"
Mugu,District,Mugu,मुगु जिल्ला,"43,937","55,286","64,549"
Chhayanath Rara,Municipality,Chāyā̃nātha Rārā,छायाँनाथ रारा नगरपालिका,...,"20,457","24,527"
Khatyad,Rural Municipality,Khatyāḍa,खत्याड गाउँपालिका,"12,326","17,146","18,832"
Mugum Karmarong,Rural Municipality,Muguma Kārmārōṅga,मुगुम कार्मारोंग गाउँपालिका,"5,105","5,423","6,222"
Soru,Rural Municipality,Sōru,सोरु गाउँपालिका,...,"12,260","14,277"
Mustang,District,Mustāṅa,मुस्ताङ जिल्ला,"14,981","13,452","14,452"
Gharapjhong,Rural Municipality,Gharapajhōṅa,घरपझोङ गाउँपालिका,...,"3,736","3,712"
Lo-Ghekar Damodarkunda [Dalome],Rural Municipality,Lokeghara Dāmodarakuṇḍa,लोकेघर दामोदरकुण्ड गाउँपालिका,...,"1,569","1,292"
Lomanthang,Rural Municipality,Lōmanthāṅa,लोमन्थाङ गाउँपालिका,...,"2,350","1,430"
Thasang,Rural Municipality,Thāsāṅa,थासाङ गाउँपालिका,...,"3,093","2,856"
Varagung Muktikshetra,Rural Municipality,Vārāguṅa Muktikṣētra,वारागुङ मुक्तिक्षेत्र गाउँपालिका,...,"2,704","2,036"
Myagdi,District,Myāgdī,म्याग्दी जिल्ला,"114,447","113,641","107,033"
Annapurna,Rural Municipality,Annapurṇa,अन्नपुर्ण गाउँपालिका,...,"13,337","12,323"
Beni,Municipality,Bēnī,बेनी नगरपालिका,...,"34,878","32,697"
Dhaulagiri,Rural Municipality,Dhavalāgirī,धवलागिरी गाउँपालिका,"14,754","14,112","12,616"
Dhorpatan Hunting Reserve,Hunting Reserve,Ḍhōrapāṭana Śikāra Ārakṣa,ढोरपाटन शिकार आरक्ष,0,0,0
Malika,Rural Municipality,Mālikā,मालिका गाउँपालिका,...,"19,208","18,332"
Mangala,Rural Municipality,Maṅgalā,मंगला गाउँपालिका,...,"16,334","14,688"
Raghuganga,Rural Municipality,Raghugaṅgā,रघुगंगा गाउँपालिका,"17,984","15,772","14,114"
Nawalpur [Nawalparasi East],District,Navalapura,नवलपुर जिल्ला,"272,557","311,604","378,079"
Baudikali,Rural Municipality,Baudīkālī,बौदीकाली गाउँपालिका,...,"15,734","11,338"
Binayi Tribeni,Rural Municipality,Vinayī Trivēṇī,विनयी त्रिवेणी गाउँपालिका,...,"33,119","38,370"
Bulingtar,Rural Municipality,Buliṅaṭāra,बुलिङटार गाउँपालिका,...,"19,122","14,637"
Chitawan National Park,National Park,Citavana Rāṣṭriya Nikuñja,चितवन राष्ट्रिय निकुञ्ज,0,0,0
Devchuli,Municipality,Dēvaculī,देवचुली नगरपालिका,"36,301","42,667","58,003"
Gaindakot,Municipality,Gaiṇḍākōṭa,गैंडाकोट नगरपालिका,"43,060","58,890","79,349"
Hupsekot,Rural Municipality,Hupsēkōṭa,हुप्सेकोट गाउँपालिका,"22,378","25,065","26,583"
Kawasoti,Municipality,Kāvāsōtī,कावासोती नगरपालिका,"51,413","62,583","86,821"
Madhyabindu,Municipality,Madhyabindu,मध्यबिन्दु नगरपालिका,...,"54,424","61,091"
Nuwakot,District,Nuvākōṭa,नुवाकोट जिल्ला,"288,478","277,471","263,391"
Belkotgadhi,Municipality,Bēlakōṭagaḍhī,बेलकोटगढी नगरपालिका,...,"40,706","35,224"
Bidur,Municipality,Bidura,बिदुर नगरपालिका,...,"55,650","59,227"
Dupcheshwar,Rural Municipality,Dupcēśvara,दुप्चेश्वर गाउँपालिका,"21,110","22,106","21,005"
Kakani,Rural Municipality,Kakanī,ककनी गाउँपालिका,...,"26,509","24,504"
Kispang,Rural Municipality,Kispāṅa,किस्पाङ गाउँपालिका,"15,578","14,861","14,235"
Langtang National Park,National Park,Lāṅaṭāṅa Rāṣṭriya Nikuñja,लाङटाङ राष्ट्रिय निकुञ्ज,0,0,0
Likhu,Rural Municipality,Likhu,लिखु गाउँपालिका,...,"16,966","17,728"
Meghang,Rural Municipality,Myagaṅa,म्यगङ गाउँपालिका,"15,194","13,484","12,668"
Panchkanya,Rural Municipality,Pañcakanyā,पञ्चकन्या गाउँपालिका,...,"15,945","13,818"
Shivapuri,Rural Municipality,Śivapurī,शिवपुरी गाउँपालिका,"25,119","20,783","17,203"
Shivapuri Nagarjuna National Park,National Park,Śivapurī Nāgārjuna Rāṣṭriya Nikuñja,शिवपुरी नागार्जुन राष्ट्रिय निकुञ्ज,0,0,0
Suryagadhi,Rural Municipality,Suryagaḍhī,सुर्यगढी गाउँपालिका,"17,328","16,800","14,919"
Tadi,Rural Municipality,Tādī,तादी गाउँपालिका,"18,785","17,942","15,933"
Tarkeshwar,Rural Municipality,Tārakēśvara,तारकेश्वर गाउँपालिका,...,"15,719","14,184"
Okhaldhunga,District,Ōkhalaḍhuṅgā,ओखलढुङ्गा जिल्ला,"156,702","147,984","139,552"
Champadevi,Rural Municipality,Campādēvī,चम्पादेवी गाउँपालिका,"19,058","18,661","16,311"
Chishankhugadhi,Rural Municipality,Ciśaṅkhugaḍhī,चिशंखुगढी गाउँपालिका,"17,978","15,206","13,844"
Khijidemba,Rural Municipality,Khijidēmbā,खिजिदेम्बा गाउँपालिका,...,"15,291","15,559"
Likhu,Rural Municipality,Likhu,लिखु गाउँपालिका,...,"14,057","12,104"
Manebhanjyang,Rural Municipality,Mānēbhañjyāṅa,मानेभञ्ज्याङ गाउँपालिका,"22,094","21,093","19,597"
Molung,Rural Municipality,Mōluṅa,मोलुङ गाउँपालिका,...,"16,274","16,440"
Siddhicharan,Municipality,Siddhicaraṇa,सिद्धिचरण नगरपालिका,...,"28,844","27,351"
Sunkoshi,Rural Municipality,Sunakōśī,सुनकोशी गाउँपालिका,"19,431","18,558","17,783"
